Tweet,HS,Abusive
cowok usaha lacak perhati lantas remeh perhati kasih khusus elo basic elo cowok bego,1,1
terlambat eluedan sarap gaul cigax jifla cal noh licew,0,1
kadang berfikir percaya tuhan jatuh berkalikali kadang tuhan ninggalkan orangtuaku rencana pisah kakak pilih kristen anak ter,0,0
akunnku mata sipit lihat,0,0
kaum cebong kapir lihat dongok dongok hahahah,1,1
bani taplak kawan-kawan xfxfxxxfxfxxxfxfxx,1,1
deklarasi pemilihan kepala daerah aman anti isu bohong warga dukuh sari jabon,0,0
kelar rewatch aldnoah zero sialan emang endingnya karakter utama cowonya kena friendzone bray xd,0,1
admin belanja po nak makan ais kepal milo ais kepal horlicks cendol toping kaw kaw doket mano tu gerai rojak meuaku taipan twins baby amp romantika bank islam senawang,0,0
enak smbil ngewe,0,1
jari bom ukur nyali bicara xfxfxxf,1,1
banci kaleng malu peanyaan nyungsep koe,1,1
ajar ekonomi mesti jago privatisasi hati aduh ironi,0,0
aktor huruhara prabowo s lengser perintah jokowi nyata,1,0
bu guru enak jarang dibelai guru esde sihnkayaknya nikmat pecun guru,1,1
lawan bicara intelek otak kencing onta hadis nabi sahih kafir tolak ahlunnar,1,1
fikiran ampas banget,0,0
ari sarua bek mah repeh monyetxfxfxxxfxfxx,0,1
cowo gantle gantle nama banci,1,1
slga mnr bom xfxfxx,0,0
asw jarang marah tacut wkkwkwkwkw bucin,0,1
noob peluang disakitin gede,0,0
joko widodo nilai presiden lemah sejarah indonesia jokowi milik modal dukung politik ketidakmampuan perintah hadap situasi ekonomi g,0,0
ajar kecamatan bilah hilir deklarasi anti isu bohong amp pemilihan kepala daerah damai,0,0
bandara udara internasional keajati bangun gubernur ahmad heryawan apbn perintah pusat insya allah operasi,0,0
gubernur presiden rakyat,0,0
kerja delay melulu setan,1,1
pintu sorga pintu sorga asli pintu hati modusbanget,0,0
pki muncul jelang pilih kepala daerah pilih presiden goreng gosong,1,0
mah sdh neneknenek heran cebong biasay bohong,1,1
islam nusantara produk jil pasar dg gencar antekxcxb jilnnsementara jil anti arab profesional asengnnkata alm kh hasyim muzadi,1,0
habis sahur jam sibayik nete x skg lemas xfxfxaxa,0,0
kak emak mah suka sipit wkwk,0,0
laku homok jaman now ngentot live blued gayvid gvid lokalhangat,0,1
kak jawa maaf yak palembang kakak deh ajar aksara jawa kalak ajar budaya palembang,0,0
pegawai guardian training mentang gembel cuman kaos flat shoes dijutekin bangsad emang males beli kabur matahari,1,1
xexxdpara bajing luka lady terima ganjar ratus kali lipatxexxdsanji hbdthpelautjkt,0,1
